NMeta,Pi,Time
896,3.1424392000,0.002356308
897,3.1422088000,0.002272242
898,3.1407768000,0.002206668
899,3.1425608000,0.002405541
900,3.1429176000,0.002239110
901,3.1418960000,0.002229731
902,3.1423432000,0.002359245
903,3.1421032000,0.002254458
904,3.1416296000,0.002379903
905,3.1431144000,0.002221055
906,3.1415832000,0.002219142
907,3.1419152000,0.002363312
908,3.1420488000,0.002256021
909,3.1414464000,0.002408237
910,3.1423544000,0.002226074
911,3.1402536000,0.002198103
912,3.1396432000,0.002390673
913,3.1403672000,0.002291177
914,3.1418032000,0.002226155
915,3.1418280000,0.002380013
916,3.1421752000,0.002217278
917,3.1416872000,0.002225243
918,3.1419184000,0.002409548
919,3.1420024000,0.002226034
920,3.1408560000,0.002362300
921,3.1420664000,0.002236404
922,3.1424208000,0.002248056
923,3.1416200000,0.002438102
924,3.1420312000,0.002237697
925,3.1415000000,0.002391204
926,3.1408128000,0.002216326
927,3.1408872000,0.002226316
928,3.1420704000,0.002266410
